site,date,transect,location,horizon,length,width,height,diameter,volume,tin,twet,wet,dry,combust-tin,wtin
bfg,08/04/19,1,0,o,10,10,9.5,,950,H8,304.2,12.203,6.526,3.31,2.241
bfg,08/04/19,1,0,m,,,10,,,121,,17.063,14.091,14.3,0.997
bfg,08/04/19,1,20,o,10,10,5,,500,106,253.8,13.384,6.682,5.46,2.34
bfg,08/04/19,1,20,m,,,10,,,102,,13.121,10.704,11.31,1.028
bfg,08/04/19,2,0,o,10,10,5,,500,H5,102.4,9.865,3.13,2.59,2.222
bfg,08/04/19,2,0,m,,,10,,,A20,,11.897,9.484,9.9,1.016
bfg,08/04/19,2,20,o,10,10,6.5,,650,105,339.3,15.85,6.106,4.79,2.346
bfg,08/04/19,2,20,m,,,10,,,344,,18.589,15.837,15.1,1.013
bfg,08/04/19,3,0,o,10,10,7.5,,750,119,224.7,11.868,4.04,3.12,2.363
bfg,08/04/19,3,0,m,,,10,,,B41,,12.528,9.941,10.45,1.156
bfg,08/04/19,3,20,o,10,10,5.5,,550,H4,152.4,13.791,5.514,4.59,2.267
bfg,08/04/19,3,20,m,,,10,,,M17,,13.602,10.37,10.5,1.013
,,,,,,,,,,,,,,,