site,date,transect,location,td,tussock
bfg,8/4/19,1,0,42,0
bfg,8/4/19,1,1,50,0
bfg,8/4/19,1,2,51,0
bfg,8/4/19,1,3,43,0
bfg,8/4/19,1,4,36,0
bfg,8/4/19,1,5,19,0
bfg,8/4/19,1,6,41,0
bfg,8/4/19,1,7,35,0
bfg,8/4/19,1,8,38,0
bfg,8/4/19,1,9,30,0
bfg,8/4/19,1,10,45,0
bfg,8/4/19,1,11,28,0
bfg,8/4/19,1,12,30,0
bfg,8/4/19,1,13,37,0
bfg,8/4/19,1,14,58,0
bfg,8/4/19,1,15,47,0
bfg,8/4/19,1,16,25,0
bfg,8/4/19,1,17,33,0
bfg,8/4/19,1,18,36,0
bfg,8/4/19,1,19,54,0
bfg,8/4/19,1,20,54,0
bfg,8/4/19,2,0,33,0
bfg,8/4/19,2,1,50,0
bfg,8/4/19,2,2,53,0
bfg,8/4/19,2,3,50,0
bfg,8/4/19,2,4,48,0
bfg,8/4/19,2,5,42,0
bfg,8/4/19,2,6,36,0
bfg,8/4/19,2,7,41,0
bfg,8/4/19,2,8,57,0
bfg,8/4/19,2,9,32,0
bfg,8/4/19,2,10,42,0
bfg,8/4/19,2,11,60,0
bfg,8/4/19,2,12,66,0
bfg,8/4/19,2,13,51,0
bfg,8/4/19,2,14,45,0
bfg,8/4/19,2,15,44,0
bfg,8/4/19,2,16,38,0
bfg,8/4/19,2,17,21,0
bfg,8/4/19,2,18,41,0
bfg,8/4/19,2,19,60,0
bfg,8/4/19,2,20,64,0
bfg,8/4/19,3,0,41,0
bfg,8/4/19,3,1,44,0
bfg,8/4/19,3,2,69,0
bfg,8/4/19,3,3,57,0
bfg,8/4/19,3,4,32,0
bfg,8/4/19,3,5,27,0
bfg,8/4/19,3,6,43,0
bfg,8/4/19,3,7,45,0
bfg,8/4/19,3,8,30,0
bfg,8/4/19,3,9,53,0
bfg,8/4/19,3,10,60,0
bfg,8/4/19,3,11,33,0
bfg,8/4/19,3,12,52,0
bfg,8/4/19,3,13,30,0
bfg,8/4/19,3,14,31,0
bfg,8/4/19,3,15,61,0
bfg,8/4/19,3,16,64,0
bfg,8/4/19,3,17,33,0
bfg,8/4/19,3,18,50,0
bfg,8/4/19,3,19,65,0
bfg,8/4/19,3,20,22,0
wws,8/8/19,1,0,65,0
wws,8/8/19,1,1,55,1
wws,8/8/19,1,2,49,0
wws,8/8/19,1,3,56,0
wws,8/8/19,1,4,39,0
wws,8/8/19,1,5,47,0
wws,8/8/19,1,6,56,0
wws,8/8/19,1,7,58,0
wws,8/8/19,1,8,48,1
wws,8/8/19,1,9,42,0
wws,8/8/19,1,10,45,1
wws,8/8/19,1,11,42,0
wws,8/8/19,1,12,33,0
wws,8/8/19,1,13,57,0
wws,8/8/19,1,14,40,0
wws,8/8/19,1,15,48,0
wws,8/8/19,1,16,57,0
wws,8/8/19,1,17,32,1
wws,8/8/19,1,18,47,0
wws,8/8/19,1,19,56,0
wws,8/8/19,1,20,41,1
wws,8/8/19,1,21,48,1
wws,8/8/19,1,22,53,0
wws,8/8/19,1,23,6,0
wws,8/8/19,1,24,57,0
wws,8/8/19,1,25,35,0
wws,8/8/19,1,26,53,0
wws,8/8/19,1,27,49,0
wws,8/8/19,1,28,31,0
wws,8/8/19,1,29,50,0
wws,8/8/19,1,30,40,0
wws,8/8/19,1,31,40,0
wws,8/8/19,1,32,52,0
wws,8/8/19,1,33,57,0
wws,8/8/19,1,34,39,0
wws,8/8/19,1,35,39,0
wws,8/8/19,1,36,50,0
wws,8/8/19,1,37,56,1
wws,8/8/19,1,38,45,0
wws,8/8/19,1,39,40,0
wws,8/8/19,1,40,50,0
wws,8/8/19,1,41,61,0
wws,8/8/19,1,42,48,0
wws,8/8/19,1,43,53,1
wws,8/8/19,1,44,48,0
wws,8/8/19,1,45,33,0
wws,8/8/19,1,46,24,0
wws,8/8/19,1,47,44,0
wws,8/8/19,1,48,57,0
wws,8/8/19,1,49,20,0
wws,8/8/19,1,50,60,0
wws,8/8/19,1,51,57,0
wws,8/8/19,1,52,48,1
wws,8/8/19,1,53,57,1
wws,8/8/19,1,54,57,0
wws,8/8/19,1,55,26,1
wws,8/8/19,1,56,42,0
wws,8/8/19,1,57,46,0
wws,8/8/19,1,58,58,0
wws,8/8/19,1,59,49,0
wws,8/8/19,1,60,51,0
wws,8/8/19,1,61,42,0
wws,8/8/19,1,62,54,0
wws,8/8/19,1,63,60,1
wws,8/8/19,1,64,40,0
wws,8/8/19,1,65,56,0
wws,8/8/19,1,66,48,0
wws,8/8/19,1,67,48,0
wws,8/8/19,1,68,57,0
wws,8/8/19,1,69,41,1
wws,8/8/19,1,70,41,0
wws,8/8/19,1,71,69,0
wws,8/8/19,1,72,37,1
wws,8/8/19,1,73,39,0
wws,8/8/19,1,74,49,0
wws,8/8/19,1,75,61,0
wws,8/8/19,1,76,38,0
wws,8/8/19,1,77,55,0
wws,8/8/19,1,78,36,0
wws,8/8/19,1,79,39,0
wws,8/8/19,1,80,42,1
wws,8/8/19,1,81,50,0
wws,8/8/19,1,82,57,1
wws,8/8/19,1,83,40,0
wws,8/8/19,1,84,47,0
wws,8/8/19,1,85,44,0
wws,8/8/19,1,86,36,0
wws,8/8/19,1,87,29,0
wws,8/8/19,1,88,65,0
wws,8/8/19,1,89,45,0
wws,8/8/19,1,90,13,0
wws,8/8/19,1,91,58,0
wws,8/8/19,1,92,27,0
wws,8/8/19,1,93,46,0
wws,8/8/19,1,94,34,0
wws,8/8/19,1,95,68,0
wws,8/8/19,1,96,48,0
wws,8/8/19,1,97,53,0
wws,8/8/19,1,98,39,0
wws,8/8/19,1,99,41,0
wws,8/8/19,1,100,50,0