site,date,transect,location,quad,type,percent
BFG,8/4/19,1,0,A,ds,15
BFG,8/4/19,1,0,A,es,20
BFG,8/4/19,1,0,A,m,40
BFG,8/4/19,1,0,A,l,0
BFG,8/4/19,1,0,A,f,15
BFG,8/4/19,1,0,A,bg,20
BFG,8/4/19,1,0,B,ds,10
BFG,8/4/19,1,0,B,es,35
BFG,8/4/19,1,0,B,m,10
BFG,8/4/19,1,0,B,l,5
BFG,8/4/19,1,0,B,f,25
BFG,8/4/19,1,0,B,bg,15
BFG,8/4/19,1,0,C,ds,10
BFG,8/4/19,1,0,C,es,20
BFG,8/4/19,1,0,C,m,35
BFG,8/4/19,1,0,C,l,5
BFG,8/4/19,1,0,C,f,0
BFG,8/4/19,1,0,C,bg,30
BFG,8/4/19,1,0,D,ds,5
BFG,8/4/19,1,0,D,es,70
BFG,8/4/19,1,0,D,m,20
BFG,8/4/19,1,0,D,l,5
BFG,8/4/19,1,0,D,f,5
BFG,8/4/19,1,0,D,bg,5
BFG,8/4/19,1,20,A,ds,15
BFG,8/4/19,1,20,A,es,5
BFG,8/4/19,1,20,A,m,30
BFG,8/4/19,1,20,A,l,30
BFG,8/4/19,1,20,A,f,10
BFG,8/4/19,1,20,A,bg,10
BFG,8/4/19,1,20,B,ds,45
BFG,8/4/19,1,20,B,es,5
BFG,8/4/19,1,20,B,m,20
BFG,8/4/19,1,20,B,l,0
BFG,8/4/19,1,20,B,f,10
BFG,8/4/19,1,20,B,bg,20
BFG,8/4/19,1,20,C,ds,60
BFG,8/4/19,1,20,C,es,10
BFG,8/4/19,1,20,C,m,0
BFG,8/4/19,1,20,C,l,0
BFG,8/4/19,1,20,C,f,30
BFG,8/4/19,1,20,C,bg,0
BFG,8/4/19,1,20,D,ds,45
BFG,8/4/19,1,20,D,es,10
BFG,8/4/19,1,20,D,m,10
BFG,8/4/19,1,20,D,l,5
BFG,8/4/19,1,20,D,f,15
BFG,8/4/19,1,20,D,bg,15
BFG,8/4/19,2,0,A,ds,5
BFG,8/4/19,2,0,A,es,25
BFG,8/4/19,2,0,A,m,65
BFG,8/4/19,2,0,A,l,0
BFG,8/4/19,2,0,A,f,0
BFG,8/4/19,2,0,A,bg,5
BFG,8/4/19,2,0,B,ds,15
BFG,8/4/19,2,0,B,es,30
BFG,8/4/19,2,0,B,m,35
BFG,8/4/19,2,0,B,l,0
BFG,8/4/19,2,0,B,f,10
BFG,8/4/19,2,0,B,bg,10
BFG,8/4/19,2,0,C,ds,60
BFG,8/4/19,2,0,C,es,15
BFG,8/4/19,2,0,C,m,15
BFG,8/4/19,2,0,C,l,5
BFG,8/4/19,2,0,C,f,5
BFG,8/4/19,2,0,C,bg,0
BFG,8/4/19,2,0,D,ds,15
BFG,8/4/19,2,0,D,es,20
BFG,8/4/19,2,0,D,m,50
BFG,8/4/19,2,0,D,l,5
BFG,8/4/19,2,0,D,f,5
BFG,8/4/19,2,0,D,bg,5
BFG,8/4/19,2,20,A,ds,35
BFG,8/4/19,2,20,A,es,10
BFG,8/4/19,2,20,A,m,30
BFG,8/4/19,2,20,A,l,0
BFG,8/4/19,2,20,A,f,20
BFG,8/4/19,2,20,A,bg,5
BFG,8/4/19,2,20,B,ds,40
BFG,8/4/19,2,20,B,es,20
BFG,8/4/19,2,20,B,m,25
BFG,8/4/19,2,20,B,l,0
BFG,8/4/19,2,20,B,f,10
BFG,8/4/19,2,20,B,bg,5
BFG,8/4/19,2,20,C,ds,25
BFG,8/4/19,2,20,C,es,15
BFG,8/4/19,2,20,C,m,45
BFG,8/4/19,2,20,C,l,0
BFG,8/4/19,2,20,C,f,5
BFG,8/4/19,2,20,C,bg,10
BFG,8/4/19,2,20,D,ds,40
BFG,8/4/19,2,20,D,es,15
BFG,8/4/19,2,20,D,m,25
BFG,8/4/19,2,20,D,l,0
BFG,8/4/19,2,20,D,f,10
BFG,8/4/19,2,20,D,bg,10
BFG,8/4/19,3,0,A,ds,15
BFG,8/4/19,3,0,A,es,15
BFG,8/4/19,3,0,A,m,45
BFG,8/4/19,3,0,A,l,5
BFG,8/4/19,3,0,A,f,10
BFG,8/4/19,3,0,A,bg,10
BFG,8/4/19,3,0,B,ds,20
BFG,8/4/19,3,0,B,es,20
BFG,8/4/19,3,0,B,m,30
BFG,8/4/19,3,0,B,l,5
BFG,8/4/19,3,0,B,f,5
BFG,8/4/19,3,0,B,bg,20
BFG,8/4/19,3,0,C,ds,15
BFG,8/4/19,3,0,C,es,20
BFG,8/4/19,3,0,C,m,45
BFG,8/4/19,3,0,C,l,5
BFG,8/4/19,3,0,C,f,10
BFG,8/4/19,3,0,C,bg,5
BFG,8/4/19,3,0,D,ds,15
BFG,8/4/19,3,0,D,es,25
BFG,8/4/19,3,0,D,m,45
BFG,8/4/19,3,0,D,l,0
BFG,8/4/19,3,0,D,f,5
BFG,8/4/19,3,0,D,bg,10
BFG,8/4/19,3,20,A,ds,40
BFG,8/4/19,3,20,A,es,15
BFG,8/4/19,3,20,A,m,30
BFG,8/4/19,3,20,A,l,2
BFG,8/4/19,3,20,A,f,8
BFG,8/4/19,3,20,A,bg,5
BFG,8/4/19,3,20,B,ds,55
BFG,8/4/19,3,20,B,es,15
BFG,8/4/19,3,20,B,m,15
BFG,8/4/19,3,20,B,l,0
BFG,8/4/19,3,20,B,f,10
BFG,8/4/19,3,20,B,bg,5
BFG,8/4/19,3,20,C,ds,60
BFG,8/4/19,3,20,C,es,15
BFG,8/4/19,3,20,C,m,10
BFG,8/4/19,3,20,C,l,0
BFG,8/4/19,3,20,C,f,10
BFG,8/4/19,3,20,C,bg,5
BFG,8/4/19,3,20,D,ds,45
BFG,8/4/19,3,20,D,es,35
BFG,8/4/19,3,20,D,m,5
BFG,8/4/19,3,20,D,l,0
BFG,8/4/19,3,20,D,f,5
BFG,8/4/19,3,20,D,bg,10